Depth,age,Gamma Density,MS Loop (negs removed)
12.636,27.07177607,1.139,15.5
12.646,27.09836375,1.2751,14.9
12.656,27.12491337,1.2774,14.4
12.666,27.15142564,1.2629,14.1
12.676,27.17790127,1.2742,14
12.686,27.20434095,1.2615,14.1
12.696,27.23074539,1.2653,14.2
12.706,27.2571153,1.2676,14.4
12.716,27.28345138,1.2649,14.7
12.726,27.30975433,1.2532,14.9
12.736,27.33602486,1.254,15.1
12.746,27.36226367,1.2757,15.1
12.756,27.38847146,1.2748,15.3
12.766,27.41464895,1.286,15.5
12.776,27.44079682,1.2712,15.5
12.786,27.4669158,1.2595,15.4
12.796,27.49300658,1.2548,15.3
12.806,27.51906986,1.2484,15.2
12.816,27.54510635,1.2551,15.1
12.826,27.57111675,1.2459,15.1
12.836,27.59710178,1.2506,15.1
12.846,27.62306212,1.2439,15.3
12.856,27.64899849,1.239,15.5
12.866,27.6749116,1.2491,15.5
12.876,27.70080213,1.2388,15.8
12.886,27.7266708,1.2564,16
12.896,27.75251832,1.2496,16
12.906,27.77834538,1.2591,16.2
12.916,27.80415269,1.2677,16.4
12.926,27.82994096,1.2501,16.6
12.936,27.85571088,1.2306,16.8
12.946,27.88146317,1.2478,16.9
12.956,27.90719852,1.2498,16.9
12.966,27.93291765,1.2502,16.9
12.976,27.95862125,1.2602,16.8
12.986,27.98431002,1.2514,16.6
12.996,28.00998468,1.2534,16.5
13.006,28.03564593,1.2496,16
13.016,28.06129447,1.2481,15.6
13.026,28.086931,1.2465,15.4
13.036,28.11255623,1.2348,15.3
13.046,28.13817087,1.2369,15.4
13.056,28.16377561,1.234,15.4
13.066,28.18937116,1.2422,15.3
13.076,28.21495823,1.2452,15.3
13.086,28.24053752,1.2487,15.4
13.096,28.26610973,1.2448,15.7
13.106,28.29167557,1.2315,15.7
13.116,28.31723574,1.2328,15.7
13.126,28.34279094,1.2341,15.7
13.136,28.36834189,1.2442,16
13.146,28.39388927,1.237,16.5
13.156,28.41943381,1.2428,17.6
13.166,28.4449762,1.2389,19.5
13.176,28.47051714,1.251,23
13.186,28.49605734,1.2503,29.2
13.196,28.52159751,1.2542,40.1
13.206,28.54713835,1.3845,51.6
13.216,28.57268055,1.5884,52.7
13.226,28.59822484,1.3516,43.2
13.236,28.6237719,1.2678,31.3
13.246,28.64932245,1.0381,23.1
13.249,28.65698839,0.1869,19.2
13.259,28.68254452,1.1818,17.5
13.269,28.70810576,1.2247,16.5
13.279,28.7336728,1.2311,15.9
13.289,28.75924635,1.2254,15.4
13.299,28.78482712,1.2328,15.3
13.309,28.8104158,1.2344,15.2
13.319,28.83601312,1.2335,15.1
13.329,28.86161975,1.2333,15
13.339,28.88723643,1.2211,14.9
13.349,28.91286383,1.2256,15
13.359,28.93850268,1.2409,15.2
13.369,28.96415367,1.2468,15.4
13.379,28.98981751,1.2369,15.7
13.389,29.0154949,1.2373,15.9
13.399,29.04118655,1.2322,15.7
13.409,29.06689316,1.2445,15.5
13.419,29.09261543,1.2559,15.6
13.429,29.11835407,1.2441,15.8
13.439,29.14410978,1.2352,16
13.449,29.16988327,1.2551,16.3
