Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate),Lake Level (PC1 5pt Smooth)
94.095,5.597094577,0.09502
94.233,5.769391228,0.26346
94.337,0,0.31378
94.474,1.755050571,0.4786
94.606,1.714971919,0.60918
94.739,0,0.6995
94.874,0,0.64404
95.022,2.254772046,0.64596
95.149,0,0.60138
95.289,0,0.60338
95.43,0.819821448,0.50338
95.588,2.291350527,0.44616
95.733,2.506105747,0.35788
95.893,2.452403264,0.33928
96.03,2.441257991,0.32768
96.18,8.76,0.44846
96.333,7.142523517,0.49772
96.508,11.30415464,0.42276
96.664,9.699791766,0.30704
96.822,3.540292064,0.16638
96.996,1.237658219,0.03858
97.145,2.87177044,-0.05118
97.309,23.64256307,0.0974
97.497,0.705292978,0.14854
97.68,2.270205431,0.18966
97.837,0,0.2255
97.996,0.748539297,0.24064
98.185,1.465858407,0.1137
98.318,0.723428936,0.11024
98.48,0,0.15414
98.646,0,0.13672
98.845,0.689834717,0.12858
99.014,0,0.10688
99.184,0,0.07134
99.355,0,-0.00542
99.531,0,-0.01578
99.708,0,-0.0496
99.915,0,-0.05578
100.107,0.742095638,-0.05558
100.291,2.593817687,-0.03662
100.505,4.619654716,-0.0581
100.717,1.11033158,-0.0531
100.985,10.25013961,-0.07054
101.249,9.278063055,0.10772
101.525,15.17162782,0.23902
101.838,0.484629505,0.23312
102.097,0.825194674,0.2207
103.988,13.93149344,0.19902
104.376,61.09674148,-0.0105
104.777,96.53664427,-0.1933
105.188,77.09302771,-0.2056
106.032,91.84510807,-0.21448
106.468,32.16007753,-0.22984
106.911,58.00710738,-0.22316
107.361,48.76402806,-0.21626
107.813,21.53957861,-0.21154
108.274,34.32148413,-0.20532
108.656,29.26635353,-0.16906
112.495,24.13916367,-0.15724
113.398,19.14835968,-0.16312
113.89,22.41840241,-0.13708
114.07,47.07350056,-0.13876
114.874,48.43077515,-0.14256
115.361,86.32840209,-0.14976
115.9,43.75778801,-0.13784
116.315,51.83677063,-0.12096
116.788,46.47313811,-0.12364
117.196,35.4700699,-0.05572
124.098,41.34593613,0.03926
124.328,220.2762165,0.13924
124.541,80.64254603,0.20484
124.728,67.62578803,0.31806
125.019,5.823321217,0.33732
125.277,56.16188888,0.27554
125.539,85.07181113,0.27632
125.707,15.05049214,0.26862
126.046,14.02613653,0.26398
126.286,27.22155529,0.26884
126.51,10.07596396,0.30844
126.739,45.51029219,0.31472
126.862,535.0232918,0.28692
126.954,15.66551143,0.28766
127.089,85.38417129,0.33114
127.186,23.40420736,0.41352
127.378,10.43058343,0.44694
127.494,0,0.47068
127.568,6.551556275,0.5227
127.768,5.716197961,0.43178
127.965,5.650475217,0.37152
128.155,21.29949757,0.32728
128.307,9.43550701,0.33708
128.526,37.91726853,0.275
128.707,7.103453245,0.3184
128.873,61.27541984,0.28194
129.049,62.58960538,0.28482
129.177,350.5342633,0.26524
129.231,9.29271706,0.22594
129.397,14.28590221,0.16122
129.491,2509.645348,0.19754
129.562,34.35247637,0.21844
129.735,29.16728902,0.19008
129.902,17.35089697,0.23112
129.907,131.0431429,0.28744
130.068,20.24106565,0.21972
130.234,20.9326575,0.23408
130.399,31.7111684,0.25912
130.55,9.207767098,0.19428
130.718,8.692244019,0.14426
130.911,12.5157339,0.16874
131.228,18.46677464,0.0622
131.4,10.59915136,0.00562
131.566,34.69403902,0.01086
131.738,16.97150264,0.09412
131.751,10.11421141,0.05356
