Age (MAL1B/1C from Ivory et al 2016)age (kyr),Charcoal (abundance normalized by sedimentation rate)
168.11,13.52521097
168.548,12.55643224
168.986,14.30472629
169.431,11.69222055
169.879,9.213777213
170.33,12.00419328
170.785,12.05760683
171.235,1.043884643
171.649,11.83147633
172.111,0.687178214
172.575,4.871311409
173.041,4.585889217
173.505,6.030621742
173.975,5.581850619
174.462,7.216762372
174.904,9.968534784
175.377,9.785415972
175.851,17.33684766
176.326,9.295736655
176.801,6.079603493
177.273,8.708753156
177.748,7.465157131
177.927,12.09913214
177.991,3.337960477
178.476,3.285060203
178.87,7.552172915
179.646,12.3353676
180.095,86.94878072
180.607,11.72932827
181.121,4.941287892
181.633,15.63834808
181.725,16.0433086
182.235,16.86669596
182.804,3.977254742
183.148,7.409008078
183.556,7.1080109
184.056,3.177598054
184.549,7.960683322
185.042,2.337561645
185.528,3.477214558
185.922,5.002910672
186.141,247.1105705
186.194,6.880668273
186.593,7.992301977
187.013,6.036319654
187.429,13.28984952
187.499,5.64205673
187.911,6.867685703
188.294,9.84290364
188.698,10.43719235
189.097,4.881726532
189.494,3.609671666
189.884,30.97802111
190.268,5.713773675
190.48,8.440057129
190.856,16.45850791
191.343,23.41797496
191.456,34.32077701
191.818,70.04107051
192.179,23.38110528
192.531,10.91763076
192.88,12.33231399
193.227,26.30080501
193.259,16.33970848
193.539,48.2408517
193.87,27.32107262
194.198,46.23599326
194.522,25.29720148
194.843,9.267176586
195.158,11.47404111
195.472,22.39788383
195.774,11.9438781
196.092,11.24535812
196.214,13.51778256
196.519,5.752636863
196.822,10.99827879
197.122,29.38693922
197.418,20.23138426
197.715,7.914371258
198.009,15.29698846
198.303,4.219535586
198.583,18.90064483
198.883,3.804335263
198.984,105.7736348
200.909,8.783772184
201.227,11.00679855
201.554,25.33167649
201.849,9.101669424
202.168,8.397956696
202.486,2.542188755
202.806,11.17841358
203.126,19.82768862
203.309,7.059035663
203.956,11.83315144
204.283,8.246484894
204.374,30.88053112
204.405,8.913250127
204.729,36.86813934
205.055,13.95318336
205.385,8.903512834
205.717,10.93011759
206.054,12.91503533
206.391,24.17934673
206.711,5.575064149
207.058,6.083591962
207.407,12.28882766
207.567,8.302969386
207.902,6.197503686
208.26,4.849085458
208.603,7.874884083
208.971,17.22454036
209.344,13.10064508
209.724,27.53419209
210.108,21.49208507
210.432,227.8597317
210.456,17.6403399
210.869,67.82173021
211.286,63.69211169
211.712,41.42178624
212.143,37.7897864
212.58,36.03648463
213.028,45.09531853
213.481,39.95750653
213.944,22.89597709
214.413,24.92333384
215.056,9.558073956
215.544,10.47449923
216.551,0.656993496
217.067,8.126439441
217.595,33.00034884
218.191,170.0567919
218.223,14.43953904
218.73,17.2285063
219.234,28.04128697
220.277,15.78905757
220.603,10.96637389
221.083,4.86568345
221.593,7.708395833
222.092,4.978469307
222.587,10.26562125
223.079,16.24573614
223.519,66.90694092
223.603,24.28680893
224.055,29.11074752
224.533,66.18286578
225.011,12.63997325
225.48,23.23868537
225.894,22.85617761
226.408,19.52012586
226.701,9.484987929
227.096,99.22561002
230.768,14.51435487
231.259,1.390617711
231.777,6.35503501
232.301,2.597422862
232.833,0.612982269
233.343,0.86027374
233.876,1.112714588
236.284,92.70079642
236.359,1.642465333
236.93,11.20058922
237.556,4.095044341
238.191,3.26769916
238.84,4.326989931
239.509,3.310806747
240.275,4.469305459
240.953,0.560773744
241.668,1.834681112
242.405,13.82872794
243.156,1.299037671
243.926,2.290698747
245.23,2.179761793
246.054,4.714454412
246.797,0.146298747
247.643,6.013074308
248.529,2.284753384
249.146,127.011423
249.197,1.0260602
249.987,1.301952739
250.776,3.514933497
251.581,3.520698186
252.405,1.43706953
253.246,2.515950099
254.114,1.897156878
254.823,0.644528081
255.717,0.60085646
256.632,0.931073714
256.949,1.156709912
257.842,1.55395073
258.811,1.871219706
259.801,2.112221547
260.783,3.732984403
261.715,4.864772256
262.297,4.460245565
263.178,5.10014925
263.98,3.116568954
264.809,1.434848029
265.619,1.409770665
266.416,2.335821305
267.336,1.339028781
268.103,5.61801471
268.919,1.545090341
269.145,2.81071489
269.921,3.368679197
270.767,1.15404972
271.636,1.918449824
272.534,2.210476649
273.459,2.784176199
274.432,3.385926882
275.002,1.842551272
276.033,3.229876244
277.146,1.680385731
278.312,0.686040064
278.811,0.375516315
291.238,7.917323074
292.517,12.69201312
293.777,8.231304283
295.87,4.745946759
298.007,6.149723004
302.214,13.77321464
305.56,7.633961573
309.327,4.009317331
310.848,5.335863649
314.881,8.947628762
319.098,10.19200275
322.894,6.427526166
327.246,8.716103337
330.815,7.748106859
334.166,7.201524797
335.289,10.18533393
338.403,10.46168319
341.299,24.98900404
344.234,15.10511614
346.917,28.24426171
349.173,29.85700748
351.711,27.81051362
352.849,9.501435018
355.183,53.84219703
357.88,27.78622133
360.583,108.4518745
362.957,46.58669673
365.206,87.02930623
367.186,76.88375424
368.081,38.37426636
369.917,32.16218229
371.793,89.70433487
373.571,104.4890082
375.287,211.9176586
376.931,185.6265322
378.584,504.7931323
380.092,241.792501
381.633,166.3288201
383.152,654.1953822
383.467,66.9349308
383.896,143.8479565
384.852,113.7588117
386.393,156.9550596
387.96,70.64340804
389.564,74.6929697
391.218,48.86689952
392.934,88.11657068
393.618,133.1122342
395.266,133.1932299
397.171,189.9573363
399.179,105.3287659
401.279,227.0265212
403.393,137.0571475
405.377,158.077635
407.019,4.155340741
413.647,60.90929691
415.052,93.71515233
416.257,52.15569415
417.092,40.47282156
417.648,150.8619478
417.966,141.0768447
419.422,78.93068007
420.903,80.98739304
422.356,166.1888086
426.572,154.9807675
428.659,123.2014649
430.087,138.8965014
431.563,299.3081943
433.024,321.2743549
445.967,9.456609409
446.144,1.651265683
447.429,0.488149571
448.896,1.566119677
454.237,4.831159414
455.57,5.323801969
456.908,0.097057463
457.333,1.754210785
458.636,0.784770103
459.968,0.685860008
460.589,0.595649545
461.967,1.779456775
463.253,0.745129211
464.542,0.715083124
465.09,0.94448635
467.46,1.590534333
468.718,2.594919607
469.954,0.501645945
471.191,0.649421761
475.545,111.2404611
487.56,1.778237352
488.761,1.761393258
489.924,1.278694377
491.078,0.652145241
491.479,2.443871504
492.544,1.772050374
493.653,5.518635063
495.81,1.469084612
496.82,0.867586131
497.783,1.554591347
498.978,27.93706951
499.097,1.068306308
499.892,2.524994059
500.761,8.206021461
501.586,2.566704148
502.37,1.703588502
503.116,3.237659906
503.825,2.174400107
505.022,1.745511769
505.648,2.516341846
506.242,3.554598884
506.813,3.816305002
507.297,0.688371174
507.797,2.17364552
